id,date,user,pc,activity
{R6M2-K5KG74DG-8301KROW},01/02/2010 7:02,CGW0692,PC-6774,Logon
{K2Q1-O2HD98ID-5044WSAA},01/02/2010 7:02,SFC2336,PC-1921,Logon
{X3J5-M0VK44QR-0807RZVR},01/02/2010 7:03,HMY0235,PC-7084,Logon
{I6P0-Y4MH32IR-4388DBEG},01/02/2010 7:03,LJE2413,PC-0302,Logon
{P8G9-J4HP25SR-5398XSPY},01/02/2010 7:03,MBA1797,PC-0470,Logon
{L4B5-G6ZX43XQ-8626PCSD},01/02/2010 7:04,DJA0740,PC-7197,Logon
{K1Q3-R3QB95BY-7218BTGO},01/02/2010 7:04,JPC2507,PC-0747,Logon
{E3E7-W5BN66PS-6663ZLVX},01/02/2010 7:07,ATH0225,PC-7844,Logon
{I6G5-M7DT56TH-7603UKKC},01/02/2010 7:07,JKG0944,PC-2688,Logon
{U3K5-A6GW94ZN-9634ZUHB},01/02/2010 7:07,ZRM0694,PC-6816,Logon
{J3K8-W7ME96IM-0274VWXS},01/02/2010 7:08,AFP2709,PC-3154,Logon
{C4R1-Q5XQ13JW-4240OVAB},01/02/2010 7:12,BZB3532,PC-1147,Logon
{M3V2-C1UX71AM-2508UNKL},01/02/2010 7:13,WBB2321,PC-3292,Logon
{O7Z2-Q6EK98DM-5486ZFOK},01/02/2010 7:15,FGC0114,PC-5400,Logon
{V6S5-Z4QP07IF-9280RLSP},01/02/2010 7:15,HLO2756,PC-9822,Logon
{U6Z8-R3QM40UV-9718CHZJ},01/02/2010 7:16,IWG0058,PC-4074,Logon
{C6C8-S1SC61GL-2950GAOZ},01/02/2010 7:16,JKS2444,PC-6961,Logon
{P1B8-J5VE15OA-6492FNAG},01/02/2010 7:18,NDW1863,PC-4279,Logon
{V4R7-X8KW09EK-3900PPTY},01/02/2010 7:18,RCT1697,PC-5770,Logon
{C2H4-L7HQ97ZC-0581IZLU},01/02/2010 7:19,MKR2138,PC-3207,Logon
{A5H0-H8KA06SE-6984SBBZ},01/02/2010 7:20,RCH2447,PC-0226,Logon
{X3P2-Q2YG49SS-3981QNJW},01/02/2010 7:21,DAR0709,PC-4052,Logon
{K7V1-U0BI49XH-3898YTWF},01/02/2010 7:21,MMR1695,PC-8796,Logon
{W2X7-K8ZN65CV-2778XYFO},01/02/2010 7:22,BMC3636,PC-5581,Logon
{V8S0-L4SG14LN-1500SJZV},01/02/2010 7:23,GRY1398,PC-3048,Logon
{D8P6-T8PV91ED-4455DGRR},01/02/2010 7:24,JEW2141,PC-8081,Logon
{V2Y7-F9GR55CZ-8695ACCZ},01/02/2010 7:28,CDB2017,PC-8758,Logon
{N4Y5-G3XF44DL-4253UGEF},01/02/2010 7:28,LXE2139,PC-8276,Logon
{T6M3-Z8PX95CE-6562KQNV},01/02/2010 7:29,AXW3243,PC-4929,Logon
{M1K1-Y5IM95CY-2081PVZU},01/02/2010 7:30,ABM3641,PC-7385,Logon
{V3I6-R7ZH87PW-5776SXWL},01/02/2010 7:30,HID1899,PC-2433,Logon
{N7M3-L6XZ17PH-7267LCUQ},01/02/2010 7:30,SRB2276,PC-5164,Logon
{R5K6-F6ZM58XK-2170ZYEN},01/02/2010 7:30,TWM2199,PC-9826,Logon
{I6J2-O4TO13ZJ-8216OUIK},01/02/2010 7:31,HDP1890,PC-9014,Logon
{N0Z1-D2WR53MP-3243QQWE},01/02/2010 7:31,JWM0484,PC-3083,Logon
{H3S9-A6YX86DM-4218UYET},01/02/2010 7:32,KCW2117,PC-8304,Logon
{P9B6-Q2ZA26HQ-6040ROLV},01/02/2010 7:34,AMA2808,PC-3872,Logon
{W6B0-H5WP88PZ-9187VRRQ},01/02/2010 7:34,GDM3960,PC-7415,Logon
{K0V5-B8GH49TS-6607SZJK},01/02/2010 7:35,AKK2125,PC-8941,Logon
{R0T2-B4VW03LQ-3881DJXD},01/02/2010 7:35,KJS1940,PC-3182,Logon
{F1G6-E2UH94CG-1202MPIE},01/02/2010 7:36,XCL1792,PC-7186,Logon
{Q3D6-M1OJ64IK-1106LYVF},01/02/2010 7:37,EAL3873,PC-7611,Logon
{Q3T4-Z7DS07UP-1277MAVM},01/02/2010 7:37,WVC3623,PC-4663,Logon
{E2T8-Z3SU13KD-5797KZNU},01/02/2010 7:38,KPS3882,PC-9504,Logon
{J6E4-O1IY03DX-4129LFEG},01/02/2010 7:40,SLC1588,PC-3514,Logon
{I0O2-Z4RB12DB-2449TORB},01/02/2010 7:43,BOV1609,PC-3155,Logon
{Z6Z6-U6GS57BP-8115DREG},01/02/2010 7:43,CJM0273,PC-3471,Logon
{U3J3-L1ZC72DY-0122YQTH},01/02/2010 7:44,GNE1365,PC-5750,Logon
{I1S0-Y8HA54MS-0861ZODP},01/02/2010 7:44,NSM2805,PC-1478,Logon
{E6Y4-Q7RV64WF-8213VNPY},01/02/2010 7:45,GNB3337,PC-3457,Logon
{Z4C0-U9IC19EY-4524IJYM},01/02/2010 7:45,HTC1750,PC-8999,Logon
{H7X1-J7MW29HN-9126GTBR},01/02/2010 7:45,ISB0256,PC-3808,Logon
{B0P4-H9EA19LB-8599OGOR},01/02/2010 7:46,IRS1337,PC-1290,Logon
{H1J6-Q7SU51IH-5419SKOZ},01/02/2010 7:46,NSR2539,PC-3893,Logon
{X0C5-C0WH32DF-6301GLDE},01/02/2010 7:48,ADP3667,PC-3802,Logon
{M2N6-P4ET38PB-2161NTLP},01/02/2010 7:48,BCC2536,PC-0256,Logon
{E3G0-W6AH81QM-9305GXZF},01/02/2010 7:48,TGH3351,PC-0681,Logon
{Y7I3-B7IA96VA-5018LJNR},01/02/2010 7:49,CCT2165,PC-2738,Logon
{Z9A5-Q4SV68JK-3221QQNH},01/02/2010 7:49,CTP2225,PC-1784,Logon
{P4P7-S3KE40BO-5814OBWB},01/02/2010 7:49,IBP1616,PC-8035,Logon
{Y3N8-H4EK83BV-5927IXNG},01/02/2010 7:49,SAB3860,PC-9388,Logon
{O8S1-T5FQ50WN-7424FDIE},01/02/2010 7:49,SER0621,PC-5436,Logon
{Z3J2-M8JK05PO-3925DFDV},01/02/2010 7:50,AKB2312,PC-0937,Logon
{A6D1-E8FI90QD-3298RMDQ},01/02/2010 7:50,BNF1110,PC-0619,Logon
{B0A5-W9ZU29CZ-0600BFKA},01/02/2010 7:50,GES2626,PC-8285,Logon
{H5H4-O9XV22LB-5217YSLH},01/02/2010 7:50,KSO2224,PC-6807,Logon
{G5F1-Q4FC19AH-8790SWOT},01/02/2010 7:51,ATM1615,PC-9996,Logon
{M5I6-O2VQ75LY-2548HMJM},01/02/2010 7:51,BDR0510,PC-1197,Logon
{N9P2-Z8DW73PU-0739AILA},01/02/2010 7:51,CJM3315,PC-0055,Logon
{K0B8-P1AW55DB-3715IEGW},01/02/2010 7:51,SDH1556,PC-1870,Logon
{E3W2-R2NS60LZ-5567PJGH},01/02/2010 7:52,ABP2917,PC-7947,Logon
{J4Y5-Q9EH72CE-4981XAOY},01/02/2010 7:52,GCN1743,PC-8848,Logon
{Y3K9-W4KQ74ZK-2071DEKK},01/02/2010 7:52,LAN1329,PC-8190,Logon
{G2C1-P8XJ30JX-2407RWSN},01/02/2010 7:52,NNM2862,PC-2840,Logon
{R4F2-Y4RD78MO-5943EWRZ},01/02/2010 7:53,CMD0613,PC-8839,Logon
{L9E4-Z8XH91QM-4836NPQX},01/02/2010 7:53,ENS1748,PC-5920,Logon
{N7Y9-L9XL49GE-2895GUBY},01/02/2010 7:53,GRP0277,PC-2590,Logon
{Q9Y1-P7OX43NR-7587EPLF},01/02/2010 7:53,JAY3851,PC-8807,Logon
{Y7B0-W8MM98RX-8543XAZZ},01/02/2010 7:53,KBP0384,PC-9322,Logon
{P4T3-V9IK60LC-1041HCIK},01/02/2010 7:53,MWG1570,PC-0031,Logon
{G2K2-Y8KD71LF-1914XPKD},01/02/2010 7:53,PKR1145,PC-1961,Logon
{L3F4-O6LZ78RH-9775DEZI},01/02/2010 7:53,SHB3512,PC-9060,Logon
{I2Y7-O5YO86MO-0710HBTS},01/02/2010 7:53,VEB3671,PC-1038,Logon
{G0N3-M9JN71EN-4255OFBA},01/02/2010 7:54,YCL0824,PC-6421,Logon
{W1O1-W4QG22NC-6342VGHJ},01/02/2010 7:54,YKW3832,PC-2158,Logon
{U9Z5-G1PP56NU-3287BTFT},01/02/2010 7:55,HMM2628,PC-4056,Logon
{D9R2-Q2NI13RL-5169TSQS},01/02/2010 7:56,LQW1314,PC-3932,Logon
{H2Q4-D5IZ69WX-7652VROD},01/02/2010 7:56,QAH1315,PC-3767,Logon
{Y3V9-K2BV21WV-7470AGCU},01/02/2010 7:56,ZDC2523,PC-2312,Logon
{G6P1-Q9BX28YF-1792YAXM},01/02/2010 7:57,AYD2775,PC-3839,Logon
{P9K3-G3BU01EE-5503LRQA},01/02/2010 7:57,SAM3855,PC-2428,Logon
{X0J6-I3AL67FR-8701TDBO},01/02/2010 7:57,UCW2995,PC-7862,Logon
{L4Z1-N4GX84YO-7531SUKJ},01/02/2010 7:58,BDB2163,PC-0401,Logon
{F4R4-R7UC12KT-9124PHTZ},01/02/2010 7:58,HCS2231,PC-0563,Logon
{Q8K5-N0TI05FJ-0541ZVRS},01/02/2010 7:58,KCR2291,PC-1603,Logon
{B6X2-J6ZO65AV-6839RFIG},01/02/2010 7:58,NRT1320,PC-2545,Logon
{L1T3-A1JG25HM-8252CXKZ},01/02/2010 7:58,TPS1568,PC-3022,Logon
{W4X7-P2QK91UX-9194JNSY},01/02/2010 7:59,BAW0780,PC-1561,Logon
{F9Z3-F3OR83IB-6409WBLS},01/02/2010 7:59,CHC0252,PC-8009,Logon
{U2V9-I5KW73FU-0329NGXA},01/02/2010 7:59,TDJ3138,PC-0550,Logon
{P9R8-O7IP38FO-3953IPUM},01/02/2010 8:00,CHM1561,PC-7046,Logon
{G4Q0-I4QD16JF-0942UUNP},01/02/2010 8:00,KPB1123,PC-2997,Logon
{S0K2-O6RI07FZ-7401FYPF},01/02/2010 8:01,FDV1224,PC-3565,Logon
{D2Y7-V5BM22BW-8616KXNI},01/02/2010 8:01,GAH0525,PC-7394,Logon
{B2H5-V5YQ44HY-7037QTGF},01/02/2010 8:02,VCF3273,PC-5191,Logon
{F6F7-N4AZ04QA-3626CHLT},01/02/2010 8:03,BKF1545,PC-9378,Logon
{A8T1-V6RX08VN-7663CUKH},01/02/2010 8:03,CRC0348,PC-9798,Logon
{K0W6-Z0IZ78PY-1316YTBD},01/02/2010 8:03,DTU3804,PC-5568,Logon
{R2R7-U8CU44JT-7981CQMA},01/02/2010 8:03,HMR0098,PC-3930,Logon
{L7A2-L6SF78LB-5518GMKE},01/02/2010 8:04,IPK2575,PC-0615,Logon
{L5G3-B7DX05CE-0284LJGR},01/02/2010 8:04,JJS2973,PC-4665,Logon
{I3U1-V1EV90NZ-7028RDSO},01/02/2010 8:05,EMK3809,PC-4281,Logon
{M8C9-Q1VA79HT-4383EDYU},01/02/2010 8:05,ONR3291,PC-9573,Logon
{M8F8-T1NU76RE-2717QYPO},01/02/2010 8:05,RPB0029,PC-1502,Logon
{Q9N9-X6LM86VR-4416ESTY},01/02/2010 8:06,ACG3819,PC-6177,Logon
{T7W2-V6DG55VB-7660EDBL},01/02/2010 8:06,WBB2321,PC-4945,Logon
{X8B6-Z3OF99XA-4512XOJA},01/02/2010 8:07,ABK3081,PC-1563,Logon
{B9A5-M8II07EQ-6478KLZW},01/02/2010 8:07,AKH0454,PC-2966,Logon
{L1K5-F9MM54DI-2304SZPD},01/02/2010 8:07,SKE3262,PC-7089,Logon
{M3X1-U8RB92ZR-6611IWGD},01/02/2010 8:08,REM0580,PC-6092,Logon
{K7H0-W8NC19ZF-1518TWDW},01/02/2010 8:08,WAF3438,PC-7900,Logon
{F7Q0-N3XQ71DK-0202GHPT},01/02/2010 8:09,MBN3610,PC-8169,Logon
{A4B4-H2RF31DM-9419DSUX},01/02/2010 8:09,NDK3436,PC-9671,Logon
{E9Y3-I8ZT68PW-4604HGSG},01/02/2010 8:09,YDM3898,PC-2220,Logon
{Q6B6-U7UE36QY-1909YJOI},01/02/2010 8:09,CCT2165,PC-3136,Logon
{S4V3-N4UQ18RW-2805BGUM},01/02/2010 8:10,IMC3296,PC-2659,Logon
{Q5X4-N4WS26PR-3743TTMB},01/02/2010 8:11,APB3823,PC-4062,Logon
{F6G6-N7XX12PC-1299LZFF},01/02/2010 8:11,DNS1758,PC-1055,Logon
{Z4V8-A8DL50XH-4281KGNE},01/02/2010 8:12,CDC3413,PC-1539,Logon
{L6T8-H0LU17KX-0511YELA},01/02/2010 8:12,MCC0856,PC-0666,Logon
{S4H8-E6EJ71LW-0241IXNZ},01/02/2010 8:12,SAD3259,PC-5036,Logon
{C1W2-L4QM50ZR-0490MXIE},01/02/2010 8:13,DPM2971,PC-5480,Logon
{N2S1-Y4RF07LA-7156IEYN},01/02/2010 8:13,FAJ3608,PC-1335,Logon
{L5K1-L1NL17VJ-9414WZTP},01/02/2010 8:14,AAS3428,PC-2084,Logon
{T3R1-Y5OZ91AZ-5157RZLU},01/02/2010 8:14,CWA2554,PC-4110,Logon
{E6N1-E7TA61NE-6857IOZI},01/02/2010 8:14,HSH3606,PC-7090,Logon
{U0O8-F2WE75UC-9120UWDT},01/02/2010 8:14,JDM1042,PC-1105,Logon
{O3V0-D8NL95TV-2884SAAX},01/02/2010 8:14,LBB0453,PC-5980,Logon
{X1L7-Z7AU23TZ-4023RRIN},01/02/2010 8:14,VPS3185,PC-3491,Logon
{R6G0-Q5WW21ZP-1905XNZA},01/02/2010 8:15,AEM0554,PC-0514,Logon
{E3I1-O5SW79BV-7701KQWG},01/02/2010 8:15,DCM3596,PC-0355,Logon
{D2K3-Q8BD31VR-0479MCPE},01/02/2010 8:15,TKM1539,PC-3295,Logon
{U4Z0-M9WZ92XK-2722EQUR},01/02/2010 8:15,ZAR0404,PC-7841,Logon
{X7V8-A1AO63IX-7789WSVU},01/02/2010 8:16,ATT1191,PC-2057,Logon
{B8B6-X0UT62RT-6558YKHG},01/02/2010 8:16,WBB2321,PC-4945,Logoff
{A7B0-P4QV74KH-9558SKQG},01/02/2010 8:17,OKH3777,PC-5467,Logon
{B6H6-F5HL81QQ-1189CKSA},01/02/2010 8:17,XTB2372,PC-9480,Logon
{Z5P8-D1SJ89QK-6495WMWF},01/02/2010 8:18,GDH2500,PC-9355,Logon
{K2V2-V1FE93VX-2691VIPB},01/02/2010 8:18,LTW1441,PC-2126,Logon
{E3E5-V9QY07NJ-4871JVWF},01/02/2010 8:18,YKM3542,PC-6463,Logon
{Z5N4-U2KX02IA-1437IBVF},01/02/2010 8:19,ELB0033,PC-4928,Logon
{X0H9-J6IV85FM-0719AEDI},01/02/2010 8:22,WMM0873,PC-3774,Logon
{R6Y9-H7CP98CL-1306FMWG},01/02/2010 8:24,CXM1821,PC-8083,Logon
{Y9P1-B5QS19AK-7479LGQC},01/02/2010 8:25,NBT3447,PC-0882,Logon
{O1I0-E3XM94AX-2407LVZG},01/02/2010 8:26,RCS2064,PC-3218,Logon
{W5G2-Q2LT16QH-2418NHCO},01/02/2010 8:27,BCM3794,PC-7608,Logon
{M6M5-I1WL81BI-3012JJHX},01/02/2010 8:27,GEG2093,PC-5774,Logon
{W8H4-A0WY95MZ-5667QCPO},01/02/2010 8:27,XBW2502,PC-7681,Logon
{G4J3-T7VU66MX-5898IIUP},01/02/2010 8:28,KAS2029,PC-6729,Logon
{D7L5-O1OS90FA-2701VQRM},01/02/2010 8:31,TRH1083,PC-2246,Logon
{H4L5-D1QD00XQ-5351MSFS},01/02/2010 8:31,URC2874,PC-9516,Logon
{Y6I4-E8FJ20UX-3403WILL},01/02/2010 8:32,CER0228,PC-5018,Logon
{S4I2-C6KP42MA-8854PPMG},01/02/2010 8:32,CLR2407,PC-2704,Logon
{K9B1-N9CM85YY-6736HBFT},01/02/2010 8:32,CPC0724,PC-8032,Logon
{A5N2-H7YH19FU-6069JSVK},01/02/2010 8:32,EDJ1970,PC-1301,Logon
{G0P2-I7HK57PK-7475ILYK},01/02/2010 8:32,JHK1849,PC-3114,Logon
{M9I5-B3QZ21VE-7366FHXV},01/02/2010 8:32,KOR1163,PC-5997,Logon
{D9F8-L0SR88YQ-4949NIKY},01/02/2010 8:33,JZE2902,PC-8858,Logon
{Z9N9-A2PR52TB-8665ZOOO},01/02/2010 8:34,BLN0230,PC-0151,Logon
{J0F4-L3YX16CH-9203WYIB},01/02/2010 8:35,CQS2883,PC-6220,Logon
{T1R4-K7HI30PU-2576WHNS},01/02/2010 8:37,AKS3496,PC-3470,Logon
{E3L7-Y0RU62ZZ-9348ZMHU},01/02/2010 8:37,KNM1154,PC-4927,Logon
{I0L8-B6FI38QO-3550WWVS},01/02/2010 8:41,LCC1963,PC-1027,Logon
{N4N3-X0EZ96PL-2333JWNS},01/02/2010 8:42,REC0283,PC-6764,Logon
{F9G8-I8EK27VB-5019XRFU},01/02/2010 8:44,HGH0727,PC-2482,Logon
{M3T7-D5NE02JV-4807WAGS},01/02/2010 8:45,TJD0106,PC-6916,Logon
{P4W3-P5SW18ZZ-7784OBAD},01/02/2010 8:47,FGC0114,PC-5400,Logon
{I4E7-U0ZE53YS-6889GCZM},01/02/2010 8:48,HMB0805,PC-0242,Logon
{G1T0-X5HR47JY-2407FQKW},01/02/2010 8:49,PNH1444,PC-6885,Logon
{V7A6-Y4CR76BG-5564HSLN},01/02/2010 8:49,RAA1455,PC-7117,Logon
{Q5Q5-H6MG36LG-7906MCOB},01/02/2010 8:52,CCT2165,PC-3136,Logoff
{V4Y1-T1KY16IQ-6156XXXD},01/02/2010 8:55,CGG3388,PC-5178,Logon
{R0S9-O7GF73IH-4318NINI},01/02/2010 8:55,MMS0241,PC-2800,Logon
{T0F7-I6VB60AQ-0814OVPL},01/02/2010 8:59,FHA3387,PC-7770,Logon
{S1F6-W0TL70OR-1032MAHY},01/02/2010 9:12,SRS0129,PC-7008,Logon
{V6N2-I3GS35ZG-1874YQLR},01/02/2010 9:17,BOR2387,PC-2983,Logon
{V6Z7-D5ET87WD-8549DBEA},01/02/2010 9:20,HSK0639,PC-3216,Logon
{O9Z5-P3OY28CV-4004UMAW},01/02/2010 9:22,UMB0055,PC-1021,Logon
{P6E6-H6ZK63FX-3954MEYL},01/02/2010 9:23,KCH2475,PC-4356,Logon
{I7B3-J9IS50PZ-8450BXEY},01/02/2010 9:29,SSS3091,PC-6770,Logon
{N9V5-J6MF30OY-2953OJBN},01/02/2010 9:41,CHC0252,PC-5395,Logon
{H5G5-V2US11RO-1757EUWV},01/02/2010 9:41,GDM3960,PC-3677,Logon
{M8Y5-T9SX65GL-5108WRJJ},01/02/2010 9:43,GRP0277,PC-1132,Logon
{L6F6-J4FR50FM-0792GVQW},01/02/2010 9:44,CHC0252,PC-5395,Logoff
{G1L8-F1WK51HF-6123QSBG},01/02/2010 9:52,WAF3438,PC-3297,Logon
{V8B5-D7YL59UN-1427ZNOU},01/02/2010 9:53,SSS3091,PC-6770,Logoff
{O1N9-G3OI35ZD-3608MGAV},01/02/2010 10:01,WAF3438,PC-3297,Logoff
{K4C8-Q0PY22OV-7909IPZU},01/02/2010 10:09,AMB3100,PC-4289,Logon
{G8I0-T1XZ22JT-5367KSMT},01/02/2010 10:21,GRP0277,PC-2590,Logon
{F3P8-E5EZ97GS-0485YKUX},01/02/2010 10:21,DPM2971,PC-6953,Logon
{E2X3-N8OM97GB-6719DNEQ},01/02/2010 10:25,CDB2017,PC-8758,Logon
{B7C4-A7NW57XD-6713GZEZ},01/02/2010 10:28,DPM2971,PC-6953,Logoff
{F1I9-Y8SM94PQ-0784JBFD},01/02/2010 10:30,HDB1666,PC-6793,Logon
{Q2Y6-H1LE71DS-7413PNRZ},01/02/2010 10:31,QAH1315,PC-3767,Logon
{B3G3-S4YC92IV-3713FUWF},01/02/2010 10:35,AMB3100,PC-4289,Logoff
{V7I5-B4PQ59ZK-6815BDQX},01/02/2010 10:36,GDM3960,PC-3677,Logoff
{N2Z5-V8SD92CI-3714KOLG},01/02/2010 10:37,LSN1672,PC-9021,Logon
{M4R0-W6UF09PG-6563ZEEO},01/02/2010 10:42,GRP0277,PC-1132,Logoff
{E4P1-I7WJ53IC-8487DYIC},01/02/2010 10:43,IMC3296,PC-3322,Logon
{X9R2-B4OS93SI-7777PERR},01/02/2010 10:43,JZE2902,PC-8858,Logon
{A7N1-G0OS84EE-1397ESKI},01/02/2010 10:48,IMC3296,PC-3322,Logoff
{G9T2-O6SA96YK-0239ZKFT},01/02/2010 10:50,RJH0219,PC-3959,Logon
{D1I5-M5FU94TS-6671BSCT},01/02/2010 10:53,KBP0384,PC-5760,Logon
{T5E4-G3LM37VL-5303OLMU},01/02/2010 10:54,BMC3636,PC-5581,Logon
{B5N4-Q7UP47YY-2660LSYF},01/02/2010 10:57,BAW0780,PC-1561,Logon
{A5E8-X0OK59SU-7785SIUS},01/02/2010 10:59,ZRM0694,PC-2539,Logon
{B0K2-U3AE03MR-8105GFVY},01/02/2010 11:02,ZRM0694,PC-2539,Logoff
{G6S0-A7VO55VW-0697DJCZ},01/02/2010 11:05,WBB2321,PC-3292,Logon
{J5V0-A1ND39ZT-5730SPNM},01/02/2010 11:07,HSH3606,PC-4504,Logon
{G4J3-V0PE17VD-4114MSJJ},01/02/2010 11:07,VCF3273,PC-5191,Logon
{V8N8-U3PO31DO-1125LHXW},01/02/2010 11:09,ABP2917,PC-7947,Logon
{M1B9-J6CU46NS-3783GDKD},01/02/2010 11:11,HSH3606,PC-4504,Logoff
{L7Y7-L6PT88OM-0803OPIM},01/02/2010 11:14,LCC1963,PC-1027,Logon
{M8J0-X5LX31PR-2365IPUD},01/02/2010 11:21,MBN3610,PC-8169,Logon
{R3I7-F3SC93AP-7758TBCM},01/02/2010 11:23,DAR0709,PC-4052,Logon
{S0W9-S8HS57HM-0311KNHD},01/02/2010 11:31,KBP0384,PC-5760,Logoff
{J0B9-Q7JL00WD-1385VEZV},01/02/2010 11:33,EMK3809,PC-4281,Logon
{M0D7-R9JM30PC-5996NABR},01/02/2010 11:35,AYD2775,PC-3839,Logon
{A9T9-L4OS37FF-5517SCHN},01/02/2010 11:35,SAB1954,PC-5091,Logon
{V6Z1-H3ME66AB-2733TFWE},01/02/2010 11:36,CPC0724,PC-8032,Logon
{F5Y5-J2EN07VT-2906NAGZ},01/02/2010 11:37,MMS0241,PC-2800,Logon
{R7U3-R3FT26BI-7044KNWE},01/02/2010 11:41,MJA2380,PC-2940,Logon
{R8V1-S5BC03WX-7317JFAQ},01/02/2010 11:43,CHC0252,PC-8009,Logon
{N3O0-M2XA63XF-6815LECI},01/02/2010 11:47,GDM3960,PC-7415,Logon
{J0R4-S9FZ84TF-6170BDPX},01/02/2010 11:48,IWG0058,PC-4074,Logon
{O8J7-V8JT01NV-7649REHW},01/02/2010 11:53,JEV3132,PC-7700,Logon
{Y2N1-Q5LE11HR-7278SOSP},01/02/2010 11:54,ENS1748,PC-5920,Logon
{U3K2-N2GT67EK-0344IGBW},01/02/2010 11:55,AMA2808,PC-3872,Logon
{W0R6-S1FG39ZQ-5143ZHTW},01/02/2010 11:56,URC2874,PC-6160,Logon
{C9Y9-K3HN82LW-5570QFPC},01/02/2010 11:57,DJA0740,PC-7197,Logon
{U4S5-V9BQ44OS-2924KSGV},01/02/2010 12:00,GNT0221,PC-6427,Logon
{C6J4-R2UP57MX-1665QIJG},01/02/2010 12:02,AMB3100,PC-9472,Logon
{F0D8-Y9NK37IO-2060RPPE},01/02/2010 12:03,JWM0484,PC-3083,Logon
{Y7Q7-Z8CY19QY-6355XWBA},01/02/2010 12:04,FHA3387,PC-7770,Logon
{K0D3-K0AU74FC-3167MOED},01/02/2010 12:04,GNE1365,PC-5750,Logon
{O9K7-S8XX81AC-6356ASEO},01/02/2010 12:05,LXE2139,PC-8276,Logon
{Y5G0-L4NL97EP-5326RMPZ},01/02/2010 12:07,JEW2141,PC-8081,Logon
{M8H2-T7CB35AH-3017SQPD},01/02/2010 12:10,KBP0384,PC-9322,Logon
{W9Z1-D2WE01TO-7363IEMK},01/02/2010 12:12,RCT1697,PC-5770,Logon
{H3E9-I5GT95VY-6211DOOL},01/02/2010 12:13,AFP2709,PC-3154,Logon
{R5K8-Q8PE15ZX-0306QESD},01/02/2010 12:14,MBA1797,PC-0470,Logon
{R1U1-P1IU44KJ-4646NTUS},01/02/2010 12:15,TPS1568,PC-3022,Logon
{E2N0-G0AS39DL-2001RAZB},01/02/2010 12:16,ATH0225,PC-7844,Logon
{F9S4-J9KK97HP-1723AKXX},01/02/2010 12:18,YCL0824,PC-6421,Logon
{R7Z9-C3DR77UE-7161VJBE},01/02/2010 12:22,NDW1863,PC-4279,Logon
{K3M5-U5DQ23KZ-6708MLDE},01/02/2010 12:25,CCT2165,PC-2738,Logon
{D6Y9-I6YR94FP-6332MWLA},01/02/2010 12:26,HMY0235,PC-7084,Logon
{B2P4-Y2GL55KI-0809PJDR},01/02/2010 12:27,UCW2995,PC-7862,Logon
{I3R8-A3LJ07XA-6654PLLV},01/02/2010 12:33,URC2874,PC-6160,Logoff
{X6Z8-O6GV01IC-0508UDAL},01/02/2010 12:36,GAH0525,PC-7394,Logon
{H6J4-Y4UN58GG-9305DFEX},01/02/2010 12:36,MMR1695,PC-8796,Logon
{C8K7-D6RY42RU-7479GKCB},01/02/2010 12:38,DCM3596,PC-0355,Logon
{M8O1-N0WZ34GJ-3001JNCH},01/02/2010 12:41,SSS3091,PC-2686,Logon
{W6F8-K3BW03IW-8143BRYV},01/02/2010 12:42,YCL0824,PC-9508,Logon
