date,user,pc,file_tree,activity
01/02/2010 8:25,TKM1539,PC-3295,R:\;R:\17r6y95;R:\553Kw49;R:\61Sh623;R:\68dYZ31;R:\TKM1539,Connect
01/02/2010 8:27,TKM1539,PC-3295,,Disconnect
01/02/2010 8:28,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
01/02/2010 8:29,SDH2394,PC-5849,,Disconnect
01/02/2010 8:29,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
01/02/2010 8:29,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
01/02/2010 8:30,LAN1329,PC-8190,,Disconnect
01/02/2010 8:30,CHM1561,PC-7046,R:\;R:\CHM1561,Connect
01/02/2010 8:32,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 8:34,GRY1398,PC-3048,,Disconnect
01/02/2010 8:38,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 8:38,BCC2536,PC-0256,,Disconnect
01/02/2010 8:38,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 8:40,FAJ3608,PC-1335,,Disconnect
01/02/2010 8:44,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 8:44,CHM1561,PC-7046,,Disconnect
01/02/2010 8:47,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
01/02/2010 8:48,QAH1315,PC-3767,,Disconnect
01/02/2010 8:49,JKS2444,PC-6961,,Disconnect
01/02/2010 8:49,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
01/02/2010 8:50,BCC2536,PC-0256,,Disconnect
01/02/2010 8:51,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 8:52,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 8:53,CBA1023,PC-1570,,Disconnect
01/02/2010 8:53,HMR0098,PC-3930,R:\;R:\296Sb99;R:\36fcmM0;R:\58zjDC0;R:\922Sfj8;R:\HMR0098,Connect
01/02/2010 8:56,HGH0727,PC-2482,,Disconnect
01/02/2010 8:59,CJM0273,PC-3471,,Disconnect
01/02/2010 8:59,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
01/02/2010 9:00,GNT0221,PC-6427,,Disconnect
01/02/2010 9:01,CPC0724,PC-8032,R:\;R:\18l9ZC4;R:\89Bk9v2;R:\CPC0724,Connect
01/02/2010 9:01,HMR0098,PC-3930,,Disconnect
01/02/2010 9:02,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 9:03,MWG1570,PC-0031,R:\;R:\31gwFr0;R:\93r1447;R:\MWG1570,Connect
01/02/2010 9:03,LAN1329,PC-8190,R:\;R:\21ZY773;R:\324xR29;R:\37mqq71;R:\54bR5h2;R:\LAN1329,Connect
01/02/2010 9:04,BCC2536,PC-0256,,Disconnect
01/02/2010 9:07,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
01/02/2010 9:08,SAM3855,PC-2428,,Disconnect
01/02/2010 9:09,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 9:09,YKW3832,PC-2158,,Disconnect
01/02/2010 9:10,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:11,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
01/02/2010 9:12,JDM1042,PC-1105,,Disconnect
01/02/2010 9:12,SDH2394,PC-5849,,Disconnect
01/02/2010 9:12,LTW1441,PC-2126,R:\;R:\87FmP51;R:\95p3Rs4;R:\LTW1441,Connect
01/02/2010 9:13,PNH1444,PC-6885,,Disconnect
01/02/2010 9:14,CPC0724,PC-8032,,Disconnect
01/02/2010 9:15,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
01/02/2010 9:15,QAH1315,PC-3767,,Disconnect
01/02/2010 9:15,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
01/02/2010 9:15,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:16,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 9:18,BCC2536,PC-0256,,Disconnect
01/02/2010 9:18,CBA1023,PC-1570,,Disconnect
01/02/2010 9:18,PNH1444,PC-6885,,Disconnect
01/02/2010 9:18,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:19,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
01/02/2010 9:21,PNH1444,PC-6885,,Disconnect
01/02/2010 9:21,GAH0525,PC-7394,R:\;R:\17sMzz0;R:\29b7C25;R:\41n5h45;R:\45cx3q2;R:\GAH0525,Connect
01/02/2010 9:22,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:22,PNH1444,PC-6885,,Disconnect
01/02/2010 9:23,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
01/02/2010 9:23,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
01/02/2010 9:23,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:25,GRY1398,PC-3048,,Disconnect
01/02/2010 9:25,PNH1444,PC-6885,,Disconnect
01/02/2010 9:26,GDH2500,PC-9355,R:\;R:\14JJRl0;R:\32BwkH0;R:\GDH2500,Connect
01/02/2010 9:27,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 9:27,SAM3855,PC-2428,,Disconnect
01/02/2010 9:29,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 9:29,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:29,LAN1329,PC-8190,,Disconnect
01/02/2010 9:29,ATT1191,PC-2057,,Disconnect
01/02/2010 9:30,ACG3819,PC-6177,R:\;R:\246XP69;R:\62VKd81;R:\ACG3819,Connect
01/02/2010 9:30,PNH1444,PC-6885,,Disconnect
01/02/2010 9:31,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:31,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 9:32,GDH2500,PC-9355,,Disconnect
01/02/2010 9:34,PNH1444,PC-6885,,Disconnect
01/02/2010 9:34,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:35,GAH0525,PC-7394,,Disconnect
01/02/2010 9:35,PNH1444,PC-6885,,Disconnect
01/02/2010 9:35,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
01/02/2010 9:35,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 9:36,LTW1441,PC-2126,,Disconnect
01/02/2010 9:36,CCT2165,PC-2738,R:\;R:\53x34P6;R:\85qcL81;R:\88t6p45;R:\CCT2165,Connect
01/02/2010 9:37,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
01/02/2010 9:38,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
01/02/2010 9:38,GNT0221,PC-6427,,Disconnect
01/02/2010 9:38,CER0228,PC-5018,R:\;R:\119nyY8;R:\CER0228,Connect
01/02/2010 9:38,MWG1570,PC-0031,,Disconnect
01/02/2010 9:41,HCS2231,PC-0563,R:\;R:\52Hsb21;R:\HCS2231,Connect
01/02/2010 9:41,FAJ3608,PC-1335,,Disconnect
01/02/2010 9:41,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
01/02/2010 9:41,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 9:41,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
01/02/2010 9:41,SDH2394,PC-5849,,Disconnect
01/02/2010 9:42,PNH1444,PC-6885,,Disconnect
01/02/2010 9:43,CJM0273,PC-3471,,Disconnect
01/02/2010 9:43,CHM1561,PC-7046,R:\;R:\CHM1561,Connect
01/02/2010 9:44,CQS2883,PC-6220,R:\;R:\61cx113;R:\CQS2883,Connect
01/02/2010 9:44,GDH2500,PC-9355,R:\;R:\14JJRl0;R:\32BwkH0;R:\GDH2500,Connect
01/02/2010 9:46,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 9:47,ACG3819,PC-6177,,Disconnect
01/02/2010 9:47,ATT1191,PC-2057,,Disconnect
01/02/2010 9:48,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 9:48,BCC2536,PC-0256,,Disconnect
01/02/2010 9:50,ROR3483,PC-4365,,Disconnect
01/02/2010 9:50,AFP2709,PC-3154,,Disconnect
01/02/2010 9:50,JDM1042,PC-1105,,Disconnect
01/02/2010 9:51,RCT1697,PC-5770,,Disconnect
01/02/2010 9:51,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
01/02/2010 9:52,CER0228,PC-5018,,Disconnect
01/02/2010 9:52,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 9:52,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 9:53,RCT1697,PC-5770,,Disconnect
01/02/2010 9:57,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
01/02/2010 9:57,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
01/02/2010 10:01,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
01/02/2010 10:02,VPS3185,PC-3491,,Disconnect
01/02/2010 10:02,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
01/02/2010 10:03,GRY1398,PC-3048,,Disconnect
01/02/2010 10:03,CHM1561,PC-7046,,Disconnect
01/02/2010 10:03,CQS2883,PC-6220,,Disconnect
01/02/2010 10:03,GDH2500,PC-9355,,Disconnect
01/02/2010 10:04,AFP2709,PC-3154,,Disconnect
01/02/2010 10:04,JDM1042,PC-1105,,Disconnect
01/02/2010 10:05,ATT1191,PC-2057,,Disconnect
01/02/2010 10:06,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
01/02/2010 10:06,BCC2536,PC-0256,,Disconnect
01/02/2010 10:07,CJM0273,PC-3471,,Disconnect
01/02/2010 10:10,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 10:10,AFP2709,PC-3154,,Disconnect
01/02/2010 10:11,CLR2407,PC-2704,R:\;R:\12Bf2v2;R:\39KkVd0;R:\44m3yx4;R:\83p4727;R:\CLR2407,Connect
01/02/2010 10:17,ATH0225,PC-7844,,Disconnect
01/02/2010 10:19,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 10:20,CCT2165,PC-2738,,Disconnect
01/02/2010 10:20,HGH0727,PC-2482,,Disconnect
01/02/2010 10:24,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 10:25,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 10:26,RCS2064,PC-3218,R:\;R:\11N58q6;R:\89K8Zh4;R:\RCS2064,Connect
01/02/2010 10:27,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
01/02/2010 10:27,SAM3855,PC-2428,,Disconnect
01/02/2010 10:27,RAA1455,PC-7117,R:\;R:\46D6D95;R:\51Vrb41;R:\84q4JP4;R:\88l7W95;R:\RAA1455,Connect
01/02/2010 10:28,CLR2407,PC-2704,,Disconnect
01/02/2010 10:28,HCS2231,PC-0563,,Disconnect
01/02/2010 10:29,ATH0225,PC-7844,,Disconnect
01/02/2010 10:30,VPS3185,PC-3491,,Disconnect
01/02/2010 10:32,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
01/02/2010 10:32,CQS2883,PC-6220,R:\;R:\61cx113;R:\CQS2883,Connect
01/02/2010 10:33,RAA1455,PC-7117,,Disconnect
01/02/2010 10:33,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 10:35,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 10:36,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
01/02/2010 10:37,FAJ3608,PC-1335,,Disconnect
01/02/2010 10:40,AKB2312,PC-0937,,Disconnect
01/02/2010 10:40,ATH0225,PC-7844,,Disconnect
01/02/2010 10:40,YKW3832,PC-2158,,Disconnect
01/02/2010 10:41,GRY1398,PC-3048,,Disconnect
01/02/2010 10:46,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
01/02/2010 10:46,OKH3777,PC-5467,R:\;R:\13y9937;R:\21fz413;R:\59N9947;R:\98F7167;R:\OKH3777,Connect
01/02/2010 10:48,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
01/02/2010 10:48,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
01/02/2010 10:49,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 10:49,ATH0225,PC-7844,,Disconnect
01/02/2010 10:51,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
01/02/2010 10:51,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 10:51,HGH0727,PC-2482,,Disconnect
01/02/2010 10:51,ATT1191,PC-2057,,Disconnect
01/02/2010 10:52,AKB2312,PC-0937,,Disconnect
01/02/2010 10:52,QAH1315,PC-3767,,Disconnect
01/02/2010 10:57,GDH2500,PC-9355,R:\;R:\14JJRl0;R:\32BwkH0;R:\GDH2500,Connect
01/02/2010 10:57,IMC3296,PC-2659,R:\;R:\18Y46W6;R:\516bS99;R:\72KG4j2;R:\IMC3296,Connect
01/02/2010 10:58,BCC2536,PC-0256,,Disconnect
01/02/2010 10:59,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 10:59,ATH0225,PC-7844,,Disconnect
01/02/2010 11:01,HDB1666,PC-6793,R:\;R:\57S35N6;R:\HDB1666,Connect
01/02/2010 11:01,IMC3296,PC-2659,,Disconnect
01/02/2010 11:01,YKW3832,PC-2158,,Disconnect
01/02/2010 11:04,SRB2276,PC-5164,R:\;R:\SRB2276,Connect
01/02/2010 11:04,SRB2276,PC-5164,,Disconnect
01/02/2010 11:04,CLR2407,PC-2704,R:\;R:\12Bf2v2;R:\39KkVd0;R:\44m3yx4;R:\83p4727;R:\CLR2407,Connect
01/02/2010 11:04,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
01/02/2010 11:05,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 11:05,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
01/02/2010 11:05,CLR2407,PC-2704,,Disconnect
01/02/2010 11:06,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
01/02/2010 11:07,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
01/02/2010 11:07,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
01/02/2010 11:08,AKB2312,PC-0937,,Disconnect
01/02/2010 11:10,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
01/02/2010 11:11,GDH2500,PC-9355,,Disconnect
01/02/2010 11:12,ZRM0694,PC-6816,R:\;R:\65L2vt4;R:\ZRM0694,Connect
01/02/2010 11:12,IMC3296,PC-2659,R:\;R:\18Y46W6;R:\516bS99;R:\72KG4j2;R:\IMC3296,Connect
01/02/2010 11:13,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 11:13,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 11:13,RCT1697,PC-5770,,Disconnect
01/02/2010 11:14,OKH3777,PC-5467,,Disconnect
01/02/2010 11:14,ATH0225,PC-7844,,Disconnect
01/02/2010 11:17,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 11:17,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
01/02/2010 11:19,ANC1950,PC-4921,R:\;R:\23svS11;R:\26v1D25;R:\314Ym49;R:\53tdGl0;R:\ANC1950,Connect
01/02/2010 11:22,ATT1191,PC-2057,,Disconnect
01/02/2010 11:23,UMB0055,PC-1021,R:\;R:\84R5d25;R:\UMB0055,Connect
01/02/2010 11:24,BCC2536,PC-0256,,Disconnect
01/02/2010 11:25,IMC3296,PC-2659,,Disconnect
01/02/2010 11:25,CLR2407,PC-2704,R:\;R:\12Bf2v2;R:\39KkVd0;R:\44m3yx4;R:\83p4727;R:\CLR2407,Connect
01/02/2010 11:26,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 11:26,RCT1697,PC-5770,,Disconnect
01/02/2010 11:27,ANC1950,PC-4921,,Disconnect
01/02/2010 11:27,SDH2394,PC-5849,,Disconnect
01/02/2010 11:29,VPS3185,PC-3491,,Disconnect
01/02/2010 11:29,QAH1315,PC-3767,,Disconnect
01/02/2010 11:30,SAM3855,PC-2428,,Disconnect
01/02/2010 11:30,CQS2883,PC-6220,,Disconnect
01/02/2010 11:30,ROR3483,PC-4365,,Disconnect
01/02/2010 11:31,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
01/02/2010 11:32,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 11:32,WMM0873,PC-3774,R:\;R:\34F7757;R:\692LCp8;R:\72xs813;R:\WMM0873,Connect
01/02/2010 11:35,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
01/02/2010 11:36,HDB1666,PC-6793,,Disconnect
01/02/2010 11:37,GRY1398,PC-3048,,Disconnect
01/02/2010 11:37,VPS3185,PC-3491,,Disconnect
01/02/2010 11:40,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 11:42,CLR2407,PC-2704,,Disconnect
01/02/2010 11:46,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 11:47,CBA1023,PC-1570,,Disconnect
01/02/2010 11:47,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 11:47,ROR3483,PC-4365,,Disconnect
01/02/2010 11:47,UMB0055,PC-1021,,Disconnect
01/02/2010 11:48,RCS2064,PC-3218,,Disconnect
01/02/2010 11:48,BCC2536,PC-0256,,Disconnect
01/02/2010 11:49,CER0228,PC-5018,R:\;R:\119nyY8;R:\CER0228,Connect
01/02/2010 11:50,XTB2372,PC-9480,R:\;R:\XTB2372,Connect
01/02/2010 11:54,WMM0873,PC-3774,,Disconnect
01/02/2010 11:58,FAJ3608,PC-1335,,Disconnect
01/02/2010 11:59,QAH1315,PC-3767,,Disconnect
01/02/2010 12:02,CLR2407,PC-2704,R:\;R:\12Bf2v2;R:\39KkVd0;R:\44m3yx4;R:\83p4727;R:\CLR2407,Connect
01/02/2010 12:04,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 12:06,KCW2117,PC-8304,R:\;R:\KCW2117,Connect
01/02/2010 12:07,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 12:09,ZRM0694,PC-6816,,Disconnect
01/02/2010 12:10,CBA1023,PC-1570,,Disconnect
01/02/2010 12:13,XCL1792,PC-7186,R:\;R:\11N1617;R:\54Vt3L2;R:\911Jx39;R:\XCL1792,Connect
01/02/2010 12:17,FAJ3608,PC-1335,,Disconnect
01/02/2010 12:21,KCW2117,PC-8304,,Disconnect
01/02/2010 12:21,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
01/02/2010 12:22,IMC3296,PC-2659,R:\;R:\18Y46W6;R:\516bS99;R:\72KG4j2;R:\IMC3296,Connect
01/02/2010 12:23,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
01/02/2010 12:25,CHM1561,PC-7046,R:\;R:\CHM1561,Connect
01/02/2010 12:28,CER0228,PC-5018,,Disconnect
01/02/2010 12:34,XCL1792,PC-7186,,Disconnect
01/02/2010 12:35,GNT0221,PC-6427,,Disconnect
01/02/2010 12:39,NSR2539,PC-3893,R:\;R:\367rR19;R:\93vK633;R:\NSR2539,Connect
01/02/2010 12:39,SAM3855,PC-2428,,Disconnect
01/02/2010 12:39,CLR2407,PC-2704,,Disconnect
01/02/2010 12:41,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
01/02/2010 12:45,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
01/02/2010 12:47,IMC3296,PC-2659,,Disconnect
01/02/2010 12:48,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
01/02/2010 12:49,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
01/02/2010 12:50,SAM3855,PC-2428,,Disconnect
01/02/2010 12:51,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 12:52,CJM0273,PC-3471,,Disconnect
01/02/2010 12:52,AFP2709,PC-3154,,Disconnect
01/02/2010 12:53,CHM1561,PC-7046,,Disconnect
01/02/2010 12:54,SSS3091,PC-2686,R:\;R:\179sT19;R:\84yNR81;R:\SSS3091,Connect
01/02/2010 12:54,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
01/02/2010 12:56,IMC3296,PC-2659,R:\;R:\18Y46W6;R:\516bS99;R:\72KG4j2;R:\IMC3296,Connect
01/02/2010 12:56,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
01/02/2010 12:57,QAH1315,PC-3767,,Disconnect
01/02/2010 12:58,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 13:01,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 13:01,AFP2709,PC-3154,,Disconnect
01/02/2010 13:01,XCL1792,PC-7186,R:\;R:\11N1617;R:\54Vt3L2;R:\911Jx39;R:\XCL1792,Connect
01/02/2010 13:02,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 13:05,HGH0727,PC-2482,,Disconnect
